invoice_id,buyer_ban,buyer_name,seller_ban,seller_name,summary,amount,trade_condition,invoice_date
EX-0001,1234567890,範例股份有限公司A,8901234512,模擬國際貿易H,郵電及通訊費用,4294.0,,2026-05-10
EX-0002,1234567890,範例股份有限公司A,9999999950,測試物流有限公司J,設備折舊提列相關費用,12780.0,,2026-07-11
EX-0003,1234567890,範例股份有限公司A,5678901222,樣本貿易股份有限公司E,進口貨物CIF條件運費及保險費,169313.0,CIF,2026-05-19
EX-0004,1234567890,範例股份有限公司A,7890123456,演練工程行G,進口貨物FOB條件採購,266428.0,FOB,2026-02-20
EX-0005,1234567890,範例股份有限公司A,8901234510,模擬國際貿易H,設備折舊提列相關費用,36831.0,,2026-07-26
EX-0006,1234567890,範例股份有限公司A,7890123488,演練工程行G,設備折舊提列相關費用,5337.0,,2026-08-23
EX-0007,1234567890,範例股份有限公司A,1234567887,範例股份有限公司A,自用乘人小汽車採購,1668688.0,,2026-02-17
EX-0008,1234567890,範例股份有限公司A,7890123467,演練工程行G,客戶送禮應酬伴手禮採購,17958.0,,2026-05-26
EX-0009,1234567890,範例股份有限公司A,5678901296,樣本貿易股份有限公司E,進口貨物FOB條件採購,123456.0,FOB,2026-02-10
EX-0010,1234567890,範例股份有限公司A,3456789023,示範企業社C,進口貨物FOB條件採購,209132.0,FOB,2026-02-01
EX-0011,1234567890,範例股份有限公司A,7890123429,演練工程行G,國外差旅住宿及機票費用,93113.0,,2026-07-13
EX-0012,1234567890,範例股份有限公司A,5678901243,樣本貿易股份有限公司E,郵電及通訊費用,7903.0,,2026-03-13
EX-0013,1234567890,範例股份有限公司A,4567890180,展示有限公司D,廣告行銷企劃費用,39438.0,,2026-08-10
EX-0014,1234567890,範例股份有限公司A,5678901298,樣本貿易股份有限公司E,進口貨物CIF條件運費及保險費,203572.0,CIF,2026-05-20
EX-0015,1234567890,範例股份有限公司A,2345678934,測試商行B,國外差旅住宿及機票費用,44944.0,,2026-08-27
EX-0016,1234567890,範例股份有限公司A,1234567876,範例股份有限公司A,客戶送禮應酬伴手禮採購,15959.0,,2026-06-13
EX-0017,1234567890,範例股份有限公司A,5678901288,樣本貿易股份有限公司E,員工尾牙聚餐福利費用,39327.0,,2026-03-10
EX-0018,1234567890,範例股份有限公司A,7890123443,演練工程行G,郵電及通訊費用,1902.0,,2026-08-13
EX-0019,1234567890,範例股份有限公司A,9012345694,範例餐飲股份有限公司I,國外差旅住宿及機票費用,94532.0,,2026-07-18
EX-0020,1234567890,範例股份有限公司A,4567890117,展示有限公司D,員工尾牙聚餐福利費用,39217.0,,2026-06-16
EX-0021,1234567890,範例股份有限公司A,2345678970,測試商行B,國外差旅住宿及機票費用,25962.0,,2026-02-16
EX-0022,1234567890,範例股份有限公司A,9999999967,測試物流有限公司J,進口貨物FOB條件採購,288947.0,FOB,2026-07-08
EX-0023,1234567890,範例股份有限公司A,3456789066,示範企業社C,報關費及通關服務費,17668.0,,2026-08-22
EX-0024,1234567890,範例股份有限公司A,1234567894,範例股份有限公司A,進口貨物FOB條件採購,335147.0,FOB,2026-01-20
EX-0025,1234567890,範例股份有限公司A,6789012320,假設科技有限公司F,客戶交際應酬餐費,2835.0,,2026-04-09
EX-0026,1234567890,範例股份有限公司A,8901234573,模擬國際貿易H,國外差旅住宿及機票費用,41382.0,,2026-05-13
EX-0027,1234567890,範例股份有限公司A,3456789051,示範企業社C,員工教育訓練及旅遊獎勵,73819.0,,2026-06-03
EX-0028,1234567890,範例股份有限公司A,4567890138,展示有限公司D,員工教育訓練及旅遊獎勵,31598.0,,2026-07-07
EX-0029,1234567890,範例股份有限公司A,7890123490,演練工程行G,進口貨物FOB條件採購,158411.0,FOB,2026-05-27
EX-0030,1234567890,範例股份有限公司A,9999999951,測試物流有限公司J,客戶送禮應酬伴手禮採購,1629.0,,2026-02-01
EX-0031,1234567890,範例股份有限公司A,6789012370,假設科技有限公司F,設備折舊提列相關費用,19948.0,,2026-05-08
EX-0032,1234567890,範例股份有限公司A,9012345684,範例餐飲股份有限公司I,員工教育訓練及旅遊獎勵,33913.0,,2026-02-09
EX-0033,1234567890,範例股份有限公司A,2345678919,測試商行B,客戶送禮應酬伴手禮採購,10956.0,,2026-06-21
EX-0034,1234567890,範例股份有限公司A,9999999972,測試物流有限公司J,客戶交際應酬餐費,30649.0,,2026-08-28
EX-0035,1234567890,範例股份有限公司A,1234567897,範例股份有限公司A,客戶交際應酬餐費,6793.0,,2026-04-07
